no_of_pcs,room_size,total_price
27,54,939506.25
27,54,1000931.25
27,54,933296.25
27,54,934025.25
27,54,995450.25
27,54,927815.25
27,54,966425.25
27,54,1027850.25
27,54,960215.25
28,54,940125
28,54,1003825
28,54,933685
28,54,973725
28,54,1037425
28,54,967285
28,54,968041
28,54,1031741
28,54,961601
28,54,1001641
28,54,1065341
28,54,995201
29,54,971360.38
29,54,1037335.38
29,54,964690.38
29,54,1006160.38
29,54,1072135.38
29,54,999490.38
29,54,1000273.38
29,54,1066248.38
29,54,993603.38
29,54,1035073.38
29,54,1101048.38
29,54,1028403.38
30,54,1004379.13
30,54,1072629.13
30,54,997479.13
30,54,1040379.13
30,54,1108629.13
30,54,1033479.13
30,54,1034289.13
30,54,1102539.13
30,54,1027389.13
30,54,1070289.13
30,54,1138539.13
30,54,1063389.13
31,54,1037397.88
31,54,1107922.88
31,54,1030267.88
31,54,1074597.88
31,54,1145122.88
31,54,1067467.88
31,54,1068304.88
31,54,1138829.88
31,54,1061174.88
31,54,1105504.88
31,54,1176029.88
31,54,1098374.88
32,66,1070416.63
32,66,1143216.63
32,66,1063056.63
32,66,1108816.63
32,66,1181616.63
32,66,1101456.63
32,66,1102320.63
32,66,1175120.63
32,66,1094960.63
32,66,1140720.63
32,66,1213520.63
32,66,1133360.63
33,66,1103435.38
33,66,1178510.38
33,66,1095845.38
33,66,1143035.38
33,66,1218110.38
33,66,1135445.38
33,66,1136336.38
33,66,1211411.38
33,66,1128746.38
33,66,1175936.38
33,66,1251011.38
33,66,1168346.38
34,66,1136454.13
34,66,1213804.13
34,66,1128634.13
34,66,1177254.13
34,66,1254604.13
34,66,1169434.13
34,66,1170352.13
34,66,1247702.13
34,66,1162532.13
34,66,1211152.13
34,66,1288502.13
34,66,1203332.13
35,66,1169472.88
35,66,1249097.88
35,66,1161422.88
35,66,1211472.88
35,66,1291097.88
35,66,1203422.88
35,66,1204367.88
35,66,1283992.88
35,66,1196317.88
35,66,1246367.88
35,66,1325992.88
35,66,1238317.88
36,66,1202491.63
36,66,1284391.63
36,66,1194211.63
36,66,1245691.63
36,66,1327591.63
36,66,1237411.63
36,66,1238383.63
36,66,1320283.63
36,66,1230103.63
36,66,1281583.63
36,66,1363483.63
36,66,1273303.63
37,66,1235510.38
37,66,1319685.38
37,66,1227000.38
37,66,1279910.38
37,66,1364085.38
37,66,1271400.38
37,66,1272399.38
37,66,1356574.38
37,66,1263889.38
37,66,1316799.38
37,66,1400974.38
37,66,1308289.38
38,66,1268529.13
38,66,1354979.13
38,66,1259789.13
38,66,1314129.13
38,66,1400579.13
38,66,1305389.13
38,66,1306415.13
38,66,1392865.13
38,66,1297675.13
38,66,1352015.13
38,66,1438465.13
38,66,1343275.13
39,66,1301547.88
39,66,1390272.88
39,66,1292577.88
39,66,1348347.88
39,66,1437072.88
39,66,1339377.88
39,66,1340430.88
39,66,1429155.88
39,66,1331460.88
39,66,1387230.88
39,66,1475955.88
39,66,1378260.88
40,72,1334566.63
40,72,1425566.63
40,72,1325366.63
40,72,1382566.63
40,72,1473566.63
40,72,1373366.63
40,72,1374446.63
40,72,1465446.63
40,72,1365246.63
40,72,1422446.63
40,72,1513446.63
40,72,1413246.63
41,72,1367585.38
41,72,1460860.38
41,72,1358155.38
41,72,1416785.38
41,72,1510060.38
41,72,1407355.38
41,72,1408462.38
41,72,1501737.38
41,72,1399032.38
41,72,1457662.38
41,72,1550937.38
41,72,1448232.38
42,72,1400604.13
42,72,1496154.13
42,72,1390944.13
42,72,1451004.13
42,72,1546554.13
42,72,1441344.13
42,72,1442478.13
42,72,1538028.13
42,72,1432818.13
42,72,1492878.13
42,72,1588428.13
42,72,1483218.13
43,72,1433622.88
43,72,1531447.88
43,72,1423732.88
43,72,1485222.88
43,72,1583047.88
43,72,1475332.88
43,72,1476493.88
43,72,1574318.88
43,72,1466603.88
43,72,1528093.88
43,72,1625918.88
43,72,1518203.88
44,72,1466641.63
44,72,1566741.63
44,72,1456521.63
44,72,1519441.63
44,72,1619541.63
44,72,1509321.63
44,72,1510509.63
44,72,1610609.63
44,72,1500389.63
44,72,1563309.63
44,72,1663409.63
44,72,1553189.63
45,72,1499660.38
45,72,1602035.38
45,72,1489310.38
45,72,1553660.38
45,72,1656035.38
45,72,1543310.38
45,72,1544525.38
45,72,1646900.38
45,72,1534175.38
45,72,1598525.38
45,72,1700900.38
45,72,1588175.38
46,80,1532679.13
46,80,1637329.13
46,80,1522099.13
46,80,1587879.13
46,80,1692529.13
46,80,1577299.13
46,80,1578541.13
46,80,1683191.13
46,80,1567961.13
46,80,1633741.13
46,80,1738391.13
46,80,1623161.13
47,80,1565697.88
47,80,1672622.88
47,80,1554887.88
47,80,1622097.88
47,80,1729022.88
47,80,1611287.88
47,80,1612556.88
47,80,1719481.88
47,80,1601746.88
47,80,1668956.88
47,80,1775881.88
47,80,1658146.88
48,80,1598716.63
48,80,1707916.63
48,80,1587676.63
48,80,1656316.63
48,80,1765516.63
48,80,1645276.63
48,80,1646572.63
48,80,1755772.63
48,80,1635532.63
48,80,1704172.63
48,80,1813372.63
48,80,1693132.63
49,80,1632260.38
49,80,1743735.38
49,80,1620990.38
49,80,1691060.38
49,80,1802535.38
49,80,1679790.38
49,80,1681113.38
49,80,1792588.38
49,80,1669843.38
49,80,1739913.38
49,80,1851388.38
49,80,1728643.38
50,80,1665279.13
50,80,1779029.13
50,80,1653779.13
50,80,1725279.13
50,80,1839029.13
50,80,1713779.13
50,80,1715129.13
50,80,1828879.13
50,80,1703629.13
50,80,1775129.13
50,80,1888879.13
50,80,1763629.13
51,80,1698297.88
51,80,1814322.88
51,80,1686567.88
51,80,1759497.88
51,80,1875522.88
51,80,1747767.88
51,80,1749144.88
51,80,1865169.88
51,80,1737414.88
51,80,1810344.88
51,80,1926369.88
51,80,1798614.88
52,88,1731316.63
52,88,1849616.63
52,88,1719356.63
52,88,1793716.63
52,88,1912016.63
52,88,1781756.63
52,88,1783160.63
52,88,1901460.63
52,88,1771200.63
52,88,1845560.63
52,88,1963860.63
52,88,1833600.63
53,88,1764335.38
53,88,1884910.38
53,88,1752145.38
53,88,1827935.38
53,88,1948510.38
53,88,1815745.38
53,88,1817176.38
53,88,1937751.38
53,88,1804986.38
53,88,1880776.38
53,88,2001351.38
53,88,1868586.38
54,88,1798075.3
54,88,1920925.3
54,88,1785655.3
54,88,1862875.3
54,88,1985725.3
54,88,1850455.3
54,88,1851913.3
54,88,1974763.3
54,88,1839493.3
54,88,1916713.3
54,88,2039563.3
54,88,1904293.3
55,88,1831094.05
55,88,1956219.05
55,88,1818444.05
55,88,1897094.05
55,88,2022219.05
55,88,1884444.05
55,88,1885929.05
55,88,2011054.05
55,88,1873279.05
55,88,1951929.05
55,88,2077054.05
55,88,1939279.05
56,88,1864112.8
56,88,1991512.8
56,88,1851232.8
56,88,1931312.8
56,88,2058712.8
56,88,1918432.8
56,88,1919944.8
56,88,2047344.8
56,88,1907064.8
56,88,1987144.8
56,88,2114544.8
56,88,1974264.8
57,90,1899875.38
57,90,2029550.38
57,90,1886765.38
57,90,1968275.38
57,90,2097950.38
57,90,1955165.38
57,90,1956704.38
57,90,2086379.38
57,90,1943594.38
57,90,2025104.38
57,90,2154779.38
57,90,2011994.38
58,90,1932894.13
58,90,2064844.13
58,90,1919554.13
58,90,2002494.13
58,90,2134444.13
58,90,1989154.13
58,90,1990720.13
58,90,2122670.13
58,90,1977380.13
58,90,2060320.13
58,90,2192270.13
58,90,2046980.13
59,90,1965912.88
59,90,2100137.88
59,90,1952342.88
59,90,2036712.88
59,90,2170937.88
59,90,2023142.88
59,90,2024735.88
59,90,2158960.88
59,90,2011165.88
59,90,2095535.88
59,90,2229760.88
59,90,2081965.88
60,96,1998931.63
60,96,2135431.63
60,96,1985131.63
60,96,2070931.63
60,96,2207431.63
60,96,2057131.63
60,96,2058751.63
60,96,2195251.63
60,96,2044951.63
60,96,2130751.63
60,96,2267251.63
60,96,2116951.63
61,96,2031950.38
61,96,2170725.38
61,96,2017920.38
61,96,2105150.38
61,96,2243925.38
61,96,2091120.38
61,96,2092767.38
61,96,2231542.38
61,96,2078737.38
61,96,2165967.38
61,96,2304742.38
61,96,2151937.38
62,96,2064969.13
62,96,2206019.13
62,96,2050709.13
62,96,2139369.13
62,96,2280419.13
62,96,2125109.13
62,96,2126783.13
62,96,2267833.13
62,96,2112523.13
62,96,2201183.13
62,96,2342233.13
62,96,2186923.13
63,96,2097987.88
63,96,2241312.88
63,96,2083497.88
63,96,2173587.88
63,96,2316912.88
63,96,2159097.88
63,96,2160798.88
63,96,2304123.88
63,96,2146308.88
63,96,2236398.88
63,96,2379723.88
63,96,2221908.88
64,96,2131006.63
64,96,2276606.63
64,96,2116286.63
64,96,2207806.63
64,96,2353406.63
64,96,2193086.63
64,96,2194814.63
64,96,2340414.63
64,96,2180094.63
64,96,2271614.63
64,96,2417214.63
64,96,2256894.63
65,96,2165701.78
65,96,2313576.78
65,96,2150751.78
65,96,2243701.78
65,96,2391576.78
65,96,2228751.78
65,96,2230506.78
65,96,2378381.78
65,96,2215556.78
65,96,2308506.78
65,96,2456381.78
65,96,2293556.78
66,100,2198720.53
66,100,2348870.53
66,100,2183540.53
66,100,2277920.53
66,100,2428070.53
66,100,2262740.53
66,100,2264522.53
66,100,2414672.53
66,100,2249342.53
66,100,2343722.53
66,100,2493872.53
66,100,2328542.53
67,104,2231739.28
67,104,2384164.28
67,104,2216329.28
67,104,2312139.28
67,104,2464564.28
67,104,2296729.28
67,104,2298538.28
67,104,2450963.28
67,104,2283128.28
67,104,2378938.28
67,104,2531363.28
67,104,2363528.28
68,104,2264758.03
68,104,2419458.03
68,104,2249118.03
68,104,2346358.03
68,104,2501058.03
68,104,2330718.03
68,104,2332554.03
68,104,2487254.03
68,104,2316914.03
68,104,2414154.03
68,104,2568854.03
68,104,2398514.03
69,104,2297776.78
69,104,2454751.78
69,104,2281906.78
69,104,2380576.78
69,104,2537551.78
69,104,2364706.78
69,104,2366569.78
69,104,2523544.78
69,104,2350699.78
69,104,2449369.78
69,104,2606344.78
69,104,2433499.78
70,104,2330795.53
70,104,2490045.53
70,104,2314695.53
70,104,2414795.53
70,104,2574045.53
70,104,2398695.53
70,104,2400585.53
70,104,2559835.53
70,104,2384485.53
70,104,2484585.53
70,104,2643835.53
70,104,2468485.53
71,104,2363814.28
71,104,2525339.28
71,104,2347484.28
71,104,2449014.28
71,104,2610539.28
71,104,2432684.28
71,104,2434601.28
71,104,2596126.28
71,104,2418271.28
71,104,2519801.28
71,104,2681326.28
71,104,2503471.28
72,104,2396833.03
72,104,2560633.03
72,104,2380273.03
72,104,2483233.03
72,104,2647033.03
72,104,2466673.03
72,104,2468617.03
72,104,2632417.03
72,104,2452057.03
72,104,2555017.03
72,104,2718817.03
72,104,2538457.03
73,104,2438002.01
73,104,2604077.01
73,104,2421212.01
73,104,2525602.01
73,104,2691677.01
73,104,2508812.01
73,104,2510783.01
73,104,2676858.01
73,104,2493993.01
73,104,2598383.01
73,104,2764458.01
73,104,2581593.01
74,104,2471020.76
74,104,2639370.76
74,104,2454000.76
74,104,2559820.76
74,104,2728170.76
74,104,2542800.76
74,104,2544798.76
74,104,2713148.76
74,104,2527778.76
74,104,2633598.76
74,104,2801948.76
74,104,2616578.76
75,104,2504039.51
75,104,2674664.51
75,104,2486789.51
75,104,2594039.51
75,104,2764664.51
75,104,2576789.51
75,104,2578814.51
75,104,2749439.51
75,104,2561564.51
75,104,2668814.51
75,104,2839439.51
75,104,2651564.51
76,120,2537058.26
76,120,2709958.26
76,120,2519578.26
76,120,2628258.26
76,120,2801158.26
76,120,2610778.26
76,120,2612830.26
76,120,2785730.26
76,120,2595350.26
76,120,2704030.26
76,120,2876930.26
76,120,2686550.26
77,120,2570077.01
77,120,2745252.01
77,120,2552367.01
77,120,2662477.01
77,120,2837652.01
77,120,2644767.01
77,120,2646846.01
77,120,2822021.01
77,120,2629136.01
77,120,2739246.01
77,120,2914421.01
77,120,2721536.01
78,120,2603095.76
78,120,2780545.76
78,120,2585155.76
78,120,2696695.76
78,120,2874145.76
78,120,2678755.76
78,120,2680861.76
78,120,2858311.76
78,120,2662921.76
78,120,2774461.76
78,120,2951911.76
78,120,2756521.76
79,120,2636114.51
79,120,2815839.51
79,120,2617944.51
79,120,2730914.51
79,120,2910639.51
79,120,2712744.51
79,120,2714877.51
79,120,2894602.51
79,120,2696707.51
79,120,2809677.51
79,120,2989402.51
79,120,2791507.51
80,120,2669133.26
80,120,2851133.26
80,120,2650733.26
80,120,2765133.26
80,120,2947133.26
80,120,2746733.26
80,120,2748893.26
80,120,2930893.26
80,120,2730493.26
80,120,2844893.26
80,120,3026893.26
80,120,2826493.26
81,120,2702152.01
81,120,2886427.01
81,120,2683522.01
81,120,2799352.01
81,120,2983627.01
81,120,2780722.01
81,120,2782909.01
81,120,2967184.01
81,120,2764279.01
81,120,2880109.01
81,120,3064384.01
81,120,2861479.01
82,120,2735170.76
82,120,2921720.76
82,120,2716310.76
82,120,2833570.76
82,120,3020120.76
82,120,2814710.76
82,120,2816924.76
82,120,3003474.76
82,120,2798064.76
82,120,2915324.76
82,120,3101874.76
82,120,2896464.76
83,120,2768189.51
83,120,2957014.51
83,120,2749099.51
83,120,2867789.51
83,120,3056614.51
83,120,2848699.51
83,120,2850940.51
83,120,3039765.51
83,120,2831850.51
83,120,2950540.51
83,120,3139365.51
83,120,2931450.51
84,130,2801208.26
84,130,2992308.26
84,130,2781888.26
84,130,2902008.26
84,130,3093108.26
84,130,2882688.26
84,130,2884956.26
84,130,3076056.26
84,130,2865636.26
84,130,2985756.26
84,130,3176856.26
84,130,2966436.26
85,130,2834227.01
85,130,3027602.01
85,130,2814677.01
85,130,2936227.01
85,130,3129602.01
85,130,2916677.01
85,130,2918972.01
85,130,3112347.01
85,130,2899422.01
85,130,3020972.01
85,130,3214347.01
85,130,3001422.01
86,130,2867245.76
86,130,3062895.76
86,130,2847465.76
86,130,2970445.76
86,130,3166095.76
86,130,2950665.76
86,130,2952987.76
86,130,3148637.76
86,130,2933207.76
86,130,3056187.76
86,130,3251837.76
86,130,3036407.76
87,130,2900264.51
87,130,3098189.51
87,130,2880254.51
87,130,3004664.51
87,130,3202589.51
87,130,2984654.51
87,130,2987003.51
87,130,3184928.51
87,130,2966993.51
87,130,3091403.51
87,130,3289328.51
87,130,3071393.51
88,130,2933283.26
88,130,3133483.26
88,130,2913043.26
88,130,3038883.26
88,130,3239083.26
88,130,3018643.26
88,130,3021019.26
88,130,3221219.26
88,130,3000779.26
88,130,3126619.26
88,130,3326819.26
88,130,3106379.26
89,130,2966302.01
89,130,3168777.01
89,130,2945832.01
89,130,3073102.01
89,130,3275577.01
89,130,3052632.01
89,130,3055035.01
89,130,3257510.01
89,130,3034565.01
89,130,3161835.01
89,130,3364310.01
89,130,3141365.01
90,130,2999320.76
90,130,3204070.76
90,130,2978620.76
90,130,3107320.76
90,130,3312070.76
90,130,3086620.76
90,130,3089050.76
90,130,3293800.76
90,130,3068350.76
90,130,3197050.76
90,130,3401800.76
90,130,3176350.76
91,130,3032339.51
91,130,3239364.51
91,130,3011409.51
91,130,3141539.51
91,130,3348564.51
91,130,3120609.51
91,130,3123066.51
91,130,3330091.51
91,130,3102136.51
91,130,3232266.51
91,130,3439291.51
91,130,3211336.51
92,140,3065358.26
92,140,3274658.26
92,140,3044198.26
92,140,3175758.26
92,140,3385058.26
92,140,3154598.26
92,140,3157082.26
92,140,3366382.26
92,140,3135922.26
92,140,3267482.26
92,140,3476782.26
92,140,3246322.26
93,140,3098377.01
93,140,3309952.01
93,140,3076987.01
93,140,3209977.01
93,140,3421552.01
93,140,3188587.01
93,140,3191098.01
93,140,3402673.01
93,140,3169708.01
93,140,3302698.01
93,140,3514273.01
93,140,3281308.01
94,140,3131395.76
94,140,3345245.76
94,140,3109775.76
94,140,3244195.76
94,140,3458045.76
94,140,3222575.76
94,140,3225113.76
94,140,3438963.76
94,140,3203493.76
94,140,3337913.76
94,140,3551763.76
94,140,3316293.76
95,140,3164414.51
95,140,3380539.51
95,140,3142564.51
95,140,3278414.51
95,140,3494539.51
95,140,3256564.51
95,140,3259129.51
95,140,3475254.51
95,140,3237279.51
95,140,3373129.51
95,140,3589254.51
95,140,3351279.51
96,140,3197433.26
96,140,3415833.26
96,140,3175353.26
96,140,3312633.26
96,140,3531033.26
96,140,3290553.26
96,140,3293145.26
96,140,3511545.26
96,140,3271065.26
96,140,3408345.26
96,140,3626745.26
96,140,3386265.26
97,140,3230977.01
97,140,3451652.01
97,140,3208667.01
97,140,3347377.01
97,140,3568052.01
97,140,3325067.01
97,140,3327686.01
97,140,3548361.01
97,140,3305376.01
97,140,3444086.01
97,140,3664761.01
97,140,3421776.01
98,140,3263995.76
98,140,3486945.76
98,140,3241455.76
98,140,3381595.76
98,140,3604545.76
98,140,3359055.76
98,140,3361701.76
98,140,3584651.76
98,140,3339161.76
98,140,3479301.76
98,140,3702251.76
98,140,3456761.76
99,140,3297014.51
99,140,3522239.51
99,140,3274244.51
99,140,3415814.51
99,140,3641039.51
99,140,3393044.51
99,140,3395717.51
99,140,3620942.51
99,140,3372947.51
99,140,3514517.51
99,140,3739742.51
99,140,3491747.51
100,144,3330033.26
100,144,3557533.26
100,144,3307033.26
100,144,3450033.26
100,144,3677533.26
100,144,3427033.26
100,144,3429733.26
100,144,3657233.26
100,144,3406733.26
100,144,3549733.26
100,144,3777233.26
100,144,3526733.26
